Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
15-MAY-2026,23731.4,23839.3,23610.3,23643.5,408864566,35052.32
14-MAY-2026,23530.25,23777.2,23426.55,23689.6,428735424,38828.33
13-MAY-2026,23362.45,23582.95,23262.55,23412.6,415359044,33693.48
12-MAY-2026,23722.6,23757.55,23348.4,23379.55,447518189,36200.59
11-MAY-2026,23970.1,23997.45,23799.1,23815.85,390108343,37404.28
08-MAY-2026,24233.65,24253.8,24126.65,24176.15,335887188,31217.1
07-MAY-2026,24398.5,24482.1,24284,24326.65,440621691,39529.1
06-MAY-2026,24171,24356.5,23997.9,24330.95,429190144,38826.87
05-MAY-2026,24052.6,24081.7,23882.05,24032.8,363297728,33650.36
04-MAY-2026,24063.55,24290.2,24004.75,24119.3,419069793,35790.21
30-APR-2026,23996.95,24087.45,23796.85,23997.55,505520648,44420.83
29-APR-2026,24096.9,24334.7,24059.95,24177.65,531122966,38035.47
28-APR-2026,24049.9,24181.8,23957.05,23995.7,554134344,43390.29
27-APR-2026,23945.45,24130.7,23936.2,24092.7,430297937,36685.28
24-APR-2026,24100.55,24206,23813.65,23897.95,438433486,36898.39
23-APR-2026,24202.35,24310.2,24134.8,24173.05,467549860,39616.97
22-APR-2026,24470.85,24515.95,24352.9,24378.1,440524292,38980.03
21-APR-2026,24374.55,24601.7,24354.9,24576.6,425826834,37315.7
20-APR-2026,24391.5,24480.65,24241.25,24364.85,415942883,35042.31
17-APR-2026,24165.9,24371.9,24096.05,24353.55,498625189,35373.29
16-APR-2026,24385.2,24400.95,24102.8,24196.75,508017772,44634.35
15-APR-2026,24163.8,24280.9,24145.8,24231.3,460334041,38376.84
13-APR-2026,23589.6,23907.4,23555.6,23842.65,488844789,41931.51
10-APR-2026,23880.55,24074.05,23856.35,24050.6,481302436,40109.22
09-APR-2026,23909.05,23990.75,23682.8,23775.1,466587329,40443.59
08-APR-2026,23855.15,24025.15,23828.5,23997.35,639257993,56557.11
07-APR-2026,22838.7,23153.85,22719.3,23123.65,476981883,38940.47
06-APR-2026,22780.3,22998.35,22542.95,22968.25,426416812,35893.16
02-APR-2026,22383.4,22782.3,22182.55,22713.1,495121035,38669.56
01-APR-2026,22899,22941.3,22618.6,22679.4,517954448,41192.2
30-MAR-2026,22549.65,22714.1,22283.85,22331.4,698599891,53093.7
27-MAR-2026,23173.55,23186.1,22804.55,22819.6,612556883,47239.2
